Address,Balance
5C6hjPBaMCfEhuPaAnmNyVP7rtP6ok7oTXbHKUyRE5b9fp7x,1108022000000000
5DXWeEgLAoRd2JV6Mm7vGAqzyD9iwv2UM8nwGPudgpc6FuHH,1055259000000000
5EnNE6WgdmSUAP4Zo8eGXbvxmfMpiHgsBxZtJurMtt52gSos,105525000000000
5GdjnYnaA3RfbetmG6RwmdwfvXFfBndhQYyX6vJ2M4pFv44u,527629000000000
5GsMUute3ZBMSDHSPYsXuC9Hg1U2LfS9D9yK65cPd9GDRozS,1411937000000000
5E7swHi3RpPvdfKBgRgxA8iqoGV5y3T7xt9kcrq9f6u4HKay,106634000000000
5Ck871gZ9tuLZ3FPmrDXDUyNrwbsDNnpVVvQCeLJRMXgt3bk,157830000000000
5H4fMnKjYyHWumPHjsqkhu3vbtPwMNZER4yDXVimz5qxaK9C,63315000000000
5CaUo8Hr78vEkShzxHj2nG4atZ7Z8acBvW4Zo3JtWt5fPdFd,175173000000000
5HdTjjFrfovvcPFBTVS3tHTUCn5kMbDjKh9VTKss3KrJmk8X,211104000000000
5HSomNJF2tSA26xFuQpUWT1jQ6zg4VCsV4vcShNz1DAwEkB8,10552000000000
5FjcTi3XxGATFftBhm8nmVHRjsREuEjZ9ksXsyfQ3zx5d2mb,8822078000000000
5G25koKMmAtV9TSvt8F4xyUvYe11PmiHd7VSyd17g4btL5AE,527629000000000
5EivqrGawFzHUJm3NmwkSX4bQU93iHPZ71xbf11MFCzxHhGA,620708000000000
5EA4x98T84jJXvmFk51d8AJNGH32UokM9btY8R33uaUDygPx,9128082000000000
5FEqCnb6xsLzfpWGZf4ee8oNGoUVydZfNqMnJioFA3LLPW7Z,20680761000000000
5FWUcU8xvKR3qcipBaxXADcfXqhsaWA25jRBmAB5rAw73rnx,18023839000000000
5EtSgg4WdR5eFiYnfVLHRaL2YpFtWTjcqW8aUreLmnzioN9G,1061682000000000
5E1ddtmAH9KtYkCStfLru6Y3DJThKBna6nycG12jRRVKXLhA,432339000000000
5Ejx8bWMFohZpmdwpbEvi29oxSAyY1H2KmKwXbmxaCzDCRmy,949733000000000
5CwVSo8XjTv1ZSThqsetiz98pLGZnGYfAyCSNy6tSvRv2Ayq,10563151000000000
5DAD1dmxeW4zYn9mPwS74dxEypCBcJNk6sWBxdKSr1Enu3q7,518027000000000
5GvBFG28MdBioBgMd5MoJRQ5oUz3xcjFPYKuTbJog9PDbA6X,4643143000000000
